epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8342,1.12775,3.72009,1.11229,0.08573,0.45333,0.13201,0.09957,0.95563,3.46297,1.04367,5e-05,5e-05,5e-05
2,28.4173,0.8327,3.29163,1.0033,0.46416,0.37579,0.47086,0.37532,0.89438,2.76269,0.95482,0.000109997,0.000109997,0.000109997
3,32.7018,0.75799,2.36246,0.93006,0.60324,0.48802,0.56685,0.45701,0.85723,1.97168,0.92493,0.000169982,0.000169982,0.000169982
4,36.705,0.72268,1.6464,0.91227,0.79225,0.59146,0.64204,0.53067,0.81843,1.66365,0.91526,0.000229944,0.000229944,0.000229944
5,40.844,0.67602,1.28168,0.88596,0.83849,0.64985,0.72519,0.60346,0.79284,1.47029,0.90904,0.000289874,0.000289874,0.000289874
6,44.8119,0.66467,1.06636,0.88563,0.65234,0.73473,0.77508,0.62433,0.77286,1.27521,0.90849,0.000349763,0.000349763,0.000349763
7,48.7651,0.66127,0.92699,0.88336,0.69555,0.76631,0.81188,0.66323,0.76394,1.07429,0.90741,0.0004096,0.0004096,0.0004096
8,52.7826,0.62919,0.80685,0.88177,0.8249,0.79372,0.87342,0.72476,0.7483,0.99724,0.91342,0.000469375,0.000469375,0.000469375
9,56.6413,0.63875,0.7475,0.88111,0.74208,0.79348,0.80391,0.64978,0.79972,0.97683,0.93802,0.00052908,0.00052908,0.00052908
10,60.3626,0.62402,0.67775,0.86945,0.78739,0.83013,0.87176,0.72873,0.78259,0.88217,0.92318,0.000588704,0.000588704,0.000588704
11,64.0828,0.63116,0.64252,0.87505,0.84818,0.827,0.88729,0.73801,0.79369,0.78355,0.94589,0.000648237,0.000648237,0.000648237
12,67.946,0.62442,0.6142,0.87877,0.80327,0.82125,0.86069,0.70451,0.77823,0.81524,0.92907,0.000707671,0.000707671,0.000707671
13,71.6213,0.58862,0.54672,0.86109,0.83637,0.81597,0.84964,0.69375,0.78541,0.84875,0.93396,0.000766995,0.000766995,0.000766995
14,75.2135,0.58856,0.53371,0.85676,0.86352,0.79196,0.8546,0.71162,0.79282,0.82799,0.95778,0.000826199,0.000826199,0.000826199
15,79.0074,0.57837,0.50312,0.85855,0.89038,0.79564,0.87403,0.71593,0.84616,0.83375,0.9787,0.000885274,0.000885274,0.000885274
16,82.6211,0.59015,0.52229,0.86789,0.80812,0.85166,0.86143,0.70067,0.79933,0.8111,0.96464,0.00094421,0.00094421,0.00094421
